probability,word
0.19338872,volt
0.11619728,connecticut
0.083462775,internet
0.08264427,loss
0.03852561,net_income
0.035485517,revolutions_per_minute
0.033365645,year
0.02182843,note
0.015304793,thursday
0.014212458,include
0.011454782,prior
0.0111713065,addition
0.010968568,corporation
0.010874091,share
0.010836821,gross_sales
0.009837273,april
0.009470026,record
0.008106487,wage
0.007540348,tax
0.0075233243,billion
0.00746544,exclude
0.007041849,january
0.006917209,dividend
0.0056027975,february
0.0053946697,end
0.005270916,operations
0.004991174,discontinue
0.0044555143,march
0.0041920654,extraordinary
0.0040242677,one-fourth
0.003831288,time_period
0.0036008924,december
0.0035949803,nothing
0.0033100008,neodymium
0.0032273743,set
0.003216971,seven
0.0030375114,current
0.0029656128,phosphorus
0.0028092763,charge
0.0026541683,quarterly
0.0024360535,calendar_month
0.0023638844,industry
0.0022324573,recognition
0.0020872608,reflect
0.0020558662,sale
0.002026702,consequence
0.0020140375,respectively
0.0019455837,group
0.0018628692,investing
0.0018576889,stock
0.0018492909,dilute
0.0018319394,account_payable
0.0017688094,international
0.0017672261,june
0.0017355292,credits
0.0016695913,split
0.0016657059,adjust
0.0016452327,losings
0.0016417962,income
0.0015692288,figure
0.0015535314,cent
0.0013787403,repeat
0.0013782893,one-half
0.00124339,ago
0.0012122539,franc
0.0012081793,system
0.0011894635,property
0.0011887139,provision
0.0011734015,prefer
0.0011545818,company
0.0011356756,devising
0.0011075046,american
0.0010672394,resource
0.00103897,item
0.001012445,shop
0.0009976171,fiscal
0.0009972965,operate
0.0009966866,data
0.0009684584,employee_turnover
0.0009663715,minority
0.00088442495,technology
0.0008829089,second
0.00086061505,given
0.00079064193,primary
0.00077522086,associate
0.0007665419,disposal
0.00075162353,change
0.0007374504,november
0.0007155577,insurance
0.0007154768,assets
0.0006965427,merchandise
0.00067317585,national
0.0006553074,final
0.0006390287,correct
0.0006386765,pension
0.0006071015,necrotizing_enterocolitis
0.00060498324,liter
0.0005643602,costs
0.0005633227,enterprise
0.0005601689,debit
0.00054552784,accounting
0.00054545345,july
0.0005384279,august
0.00053400965,restructure
0.0005339203,hydrogen
0.0005238041,debt
0.0005108937,checkup
0.00050130434,communications
