document,probabilities,topic,,,,,
./files/datasets/data/20news-bydate-train/rec.autos/102975,0.05,0.0833333333333,0.383333333333,0.333333333333,0.133333333333,0.0166666666667,3
./files/datasets/data/20news-bydate-train/rec.autos/101618,0.142857142857,0.160714285714,0.375,0.196428571429,0.0892857142857,0.0357142857143,3
./files/datasets/data/20news-bydate-train/rec.autos/102768,0.363855421687,0.0819277108434,0.322891566265,0.134939759036,0.0795180722892,0.0168674698795,1
./files/datasets/data/20news-bydate-train/rec.autos/103761,0.0795454545455,0.215909090909,0.409090909091,0.204545454545,0.0681818181818,0.0227272727273,3
./files/datasets/data/20news-bydate-train/rec.autos/103005,0.0833333333333,0.125,0.416666666667,0.25,0.125,0.0,3
./files/datasets/data/20news-bydate-train/rec.autos/102934,0.16,0.08,0.36,0.24,0.12,0.04,3
./files/datasets/data/20news-bydate-train/rec.autos/103116,0.169014084507,0.0985915492958,0.323943661972,0.197183098592,0.12676056338,0.0845070422535,3
./files/datasets/data/20news-bydate-train/rec.autos/102741,0.113924050633,0.139240506329,0.386075949367,0.221518987342,0.0949367088608,0.0443037974684,3
./files/datasets/data/20news-bydate-train/rec.autos/102795,0.111111111111,0.166666666667,0.194444444444,0.388888888889,0.0277777777778,0.111111111111,4
./files/datasets/data/20news-bydate-train/rec.autos/101645,0.107692307692,0.223076923077,0.369230769231,0.107692307692,0.130769230769,0.0615384615385,3
./files/datasets/data/20news-bydate-train/rec.autos/101634,0.125,0.180555555556,0.409722222222,0.159722222222,0.125,0.0,3
./files/datasets/data/20news-bydate-train/rec.autos/101578,0.254237288136,0.101694915254,0.338983050847,0.169491525424,0.0847457627119,0.0508474576271,3
./files/datasets/data/20news-bydate-train/rec.autos/102974,0.0857142857143,0.242857142857,0.242857142857,0.242857142857,0.185714285714,0.0,2
./files/datasets/data/20news-bydate-train/rec.autos/102845,0.226351351351,0.206081081081,0.22972972973,0.179054054054,0.121621621622,0.0371621621622,3
./files/datasets/data/20news-bydate-train/rec.autos/102811,0.134615384615,0.326923076923,0.230769230769,0.211538461538,0.0961538461538,0.0,2
./files/datasets/data/20news-bydate-train/rec.autos/102758,0.0961538461538,0.105769230769,0.480769230769,0.201923076923,0.0769230769231,0.0384615384615,3
./files/datasets/data/20news-bydate-train/rec.autos/102838,0.11214953271,0.242990654206,0.392523364486,0.158878504673,0.0747663551402,0.018691588785,3
./files/datasets/data/20news-bydate-train/rec.autos/102976,0.159420289855,0.111111111111,0.36231884058,0.256038647343,0.0772946859903,0.0338164251208,3
./files/datasets/data/20news-bydate-train/rec.autos/103114,0.174418604651,0.116279069767,0.337209302326,0.244186046512,0.104651162791,0.0232558139535,3
./files/datasets/data/20news-bydate-train/rec.autos/102994,0.137254901961,0.156862745098,0.333333333333,0.21568627451,0.137254901961,0.0196078431373,3
./files/datasets/data/20news-bydate-train/rec.autos/102927,0.13475177305,0.141843971631,0.297872340426,0.184397163121,0.234042553191,0.00709219858156,3
