document,probabilities,topic,,,,,
./files/datasets/data/20news-bydate-train/rec.autos/102975,0.633333333333,0.1,0.0,0.133333333333,0.1,0.0333333333333,1
./files/datasets/data/20news-bydate-train/rec.autos/101618,0.5,0.0714285714286,0.0,0.160714285714,0.0892857142857,0.178571428571,1
./files/datasets/data/20news-bydate-train/rec.autos/102768,0.29156626506,0.0192771084337,0.00481927710843,0.525301204819,0.113253012048,0.0457831325301,4
./files/datasets/data/20news-bydate-train/rec.autos/103761,0.534090909091,0.0227272727273,0.0,0.181818181818,0.0681818181818,0.193181818182,1
./files/datasets/data/20news-bydate-train/rec.autos/103005,0.708333333333,0.0,0.0,0.125,0.104166666667,0.0625,1
./files/datasets/data/20news-bydate-train/rec.autos/102934,0.44,0.08,0.0,0.32,0.04,0.12,1
./files/datasets/data/20news-bydate-train/rec.autos/103116,0.464788732394,0.0985915492958,0.0,0.154929577465,0.12676056338,0.154929577465,1
./files/datasets/data/20news-bydate-train/rec.autos/102741,0.405063291139,0.0443037974684,0.00632911392405,0.240506329114,0.189873417722,0.113924050633,1
./files/datasets/data/20news-bydate-train/rec.autos/102795,0.361111111111,0.166666666667,0.0,0.277777777778,0.138888888889,0.0555555555556,1
./files/datasets/data/20news-bydate-train/rec.autos/101645,0.469230769231,0.1,0.0,0.123076923077,0.0230769230769,0.284615384615,1
./files/datasets/data/20news-bydate-train/rec.autos/101634,0.541666666667,0.0208333333333,0.0,0.194444444444,0.0763888888889,0.166666666667,1
./files/datasets/data/20news-bydate-train/rec.autos/101578,0.406779661017,0.101694915254,0.0169491525424,0.338983050847,0.0169491525424,0.118644067797,1
./files/datasets/data/20news-bydate-train/rec.autos/102974,0.271428571429,0.0142857142857,0.0,0.114285714286,0.357142857143,0.242857142857,5
./files/datasets/data/20news-bydate-train/rec.autos/102845,0.398648648649,0.0574324324324,0.0304054054054,0.192567567568,0.135135135135,0.185810810811,1
./files/datasets/data/20news-bydate-train/rec.autos/102811,0.346153846154,0.0192307692308,0.0,0.173076923077,0.192307692308,0.269230769231,1
./files/datasets/data/20news-bydate-train/rec.autos/102758,0.480769230769,0.0576923076923,0.0,0.192307692308,0.0769230769231,0.192307692308,1
./files/datasets/data/20news-bydate-train/rec.autos/102838,0.495327102804,0.0841121495327,0.0,0.224299065421,0.0654205607477,0.130841121495,1
./files/datasets/data/20news-bydate-train/rec.autos/102976,0.43961352657,0.0869565217391,0.0,0.256038647343,0.0772946859903,0.140096618357,1
./files/datasets/data/20news-bydate-train/rec.autos/103114,0.511627906977,0.0116279069767,0.0232558139535,0.232558139535,0.0697674418605,0.151162790698,1
./files/datasets/data/20news-bydate-train/rec.autos/102994,0.588235294118,0.0588235294118,0.0,0.156862745098,0.0980392156863,0.0980392156863,1
./files/datasets/data/20news-bydate-train/rec.autos/102927,0.347517730496,0.0212765957447,0.0141843971631,0.234042553191,0.248226950355,0.13475177305,1
./files/datasets/data/20news-bydate-train/rec.autos/102753,0.453608247423,0.0721649484536,0.0,0.175257731959,0.0515463917526,0.247422680412,1
