basic word,probability,word form Word2Vec
venture,0.06332921226868393,venture
venture,0.048004750008431074,ventures
venture,0.03813118098310042,foray
venture,0.0354219203463515,venturing
venture,0.03181741794804793,joint_venture
venture,0.031816806444112444,endeavor
venture,0.031763703744331906,forays
venture,0.03034621874829213,ventured
venture,0.03025974190008185,Dace_Ventures
venture,0.030252783211778933,venture_capital
venture,0.03018091262578082,IVP_specializes
venture,0.030076945632600882,startup
venture,0.030066127297544654,Sevin_Rosen
venture,0.03002545851111904,Helion_Venture_Partners
venture,0.029850002178221757,Venture
venture,0.028918842109888487,partnership
venture,0.02872814913726529,Lightbank
venture,0.02861257111874238,invesment
venture,0.02858780898407076,Seedfund
joint,0.05747390165925026,joint
joint,0.03269201696450974,jointly
joint,0.031064797154265467,Joint
joint,0.029642023805878992,magnet_Tani
joint,0.029075387145079512,ajoint
joint,0.029002998435536664,Spacewalking_astronauts_inspected
system,0.04272362335183466,system
system,0.030880283532949804,systems
system,0.030459279031866515,sytem
system,0.02508724122583139,sys_tem
system,0.02253852466781403,System
system,0.021613073630341262,mechanism
system,0.021480684808310002,sysem
system,0.021348910972439405,systen
system,0.021190574318175948,system.The
system,0.02114653086831364,sytems
system,0.02033850398962933,computerized
system,0.01989992845538424,syste
system,0.01973051313738594,sysytem
system,0.019608295142376164,program
international,0.03185291960835457,international
international,0.01788748992026523,internationally
international,0.017242477077239027,global
international,0.016442817139380228,int'l
international,0.016222306337831727,national
international,0.016111051333656423,intenational
international,0.015919008819281877,foreign
international,0.015627439790779518,interntional
international,0.015306005118781885,International
international,0.015219771526235215,internatonal
international,0.015138719163852787,internation
international,0.015046119625999888,interna_tional
international,0.014993768127081308,internationally_recognized
international,0.014962224137134883,interational
international,0.01492682412723112,andinternational
international,0.014597382185824292,domestic
international,0.014443604641528607,internatinal
international,0.014404599224486003,intern_ational
international,0.014382963933780024,European
state,0.02457587979733944,state
state,0.014240962572836802,statewide
state,0.014065650930300544,thestate
state,0.013426955812023689,district
state,0.013385916950248156,State
state,0.013351915163428707,county
state,0.012682023420393373,Legislature
state,0.012535185271403404,districts
state,0.012373512722313462,federal
state,0.012343719411003762,commonwealth
state,0.012262636311494157,stateís
state,0.01225992196930148,governor
state,0.0121498636697151,stateâ
state,0.012114842356632238,legislature
state,0.012083374737105468,multimember_districts
state,0.011902263074109465,legislators
state,0.011747905918926826,legislatively_enacted
state,0.011618454647786824,CHEYENNE_WYOMING_Wyoming
state,0.011544854665973547,nation
state,0.011443436704985932,unconstitutionally_inadequate
state,0.011390179641251885,national
state,0.011303061415010585,statewide_nonjudicial
state,0.011271157274181376,_State
state,0.011255905395654575,government
state,0.011239287557011923,stateÕs
state,0.01123704415978144,stateâ_€_™
state,0.011182853995142517,regional
state,0.011122000288876777,states
state,0.011110474222204847,Joanna_Prukop
technology,0.022523485644251884,technology
technology,0.018767164930999503,technologies
technology,0.014033913133599807,innovations
technology,0.01374423289534965,technological_innovations
technology,0.013620717116764602,technol
technology,0.013596070077733224,technological_advancement
technology,0.01359528605513971,cutting_edge
technology,0.013569452242182534,technological_innovation
technology,0.013440003936472933,technological_advancements
technology,0.013337107683596416,innovation
technology,0.013286945005160367,Technology
technology,0.013222598767305693,tech_nology
technology,0.013196512563513618,advancements
