document,topic
cocoa1,2
cocoa1,6
cocoa1,7
cocoa1,11
cocoa1,15
cocoa1,20
cocoa1,24
cocoa1,26
cocoa1,27
cocoa1,40
cocoa1,44
earn2,9
earn2,15
earn2,46
acq3,0
acq3,1
acq3,9
acq3,16
acq3,22
acq3,28
acq3,29
acq3,30
acq3,31
acq3,38
acq3,41
acq3,43
acq3,49
earn4,0
earn4,26
earn4,34
earn4,50
earn5,9
earn5,34
earn5,48
earn6,5
earn6,34
earn6,48
earn7,5
earn7,14
earn7,23
earn7,26
earn7,35
earn7,38
earn7,45
earn7,46
earn7,47
earn7,48
earn7,49
copper8,5
copper8,19
copper8,25
copper8,30
copper8,33
copper8,41
earn9,5
earn9,9
earn9,15
earn9,30
earn9,35
earn10,5
earn10,9
earn10,16
earn10,33
earn10,34
earn11,4
earn11,21
earn11,22
earn11,31
earn11,32
earn11,34
housing12,5
housing12,7
housing12,11
housing12,14
housing12,18
housing12,27
housing12,29
housing12,30
housing12,35
housing12,38
housing12,43
money-supply13,48
money-supply13,50
earn14,5
earn14,10
earn15,5
earn15,9
earn15,16
earn15,34
earn16,34
earn17,2
earn17,9
earn17,11
earn17,22
earn17,23
earn17,35
earn17,48
earn17,50
earn18,1
earn18,29
earn18,34
coffee19,5
coffee19,18
coffee19,22
coffee19,24
coffee19,44
coffee19,48
acq20,0
acq20,2
acq20,15
acq20,24
acq20,35
acq20,39
acq20,43
acq20,51
sugar21,4
sugar21,7
sugar21,12
sugar21,18
sugar21,19
sugar21,20
sugar21,38
sugar21,39
sugar21,47
trade22,6
trade22,8
trade22,14
trade22,17
trade22,22
trade22,24
trade22,30
trade22,45
trade22,48
trade22,49
reserves23,7
reserves23,22
reserves23,48
reserves23,50
ship24,6
ship24,35
ship24,36
ship24,45
earn25,1
earn25,5
earn25,30
earn25,33
earn25,35
earn25,39
earn25,46
earn26,5
earn26,9
earn27,7
earn27,22
earn27,25
earn27,26
earn27,28
earn27,35
earn27,43
earn27,51
money-supply28,8
money-supply28,29
money-supply28,43
money-supply28,44
money-supply28,49
money-supply28,50
ship29,1
ship29,2
ship29,4
ship29,6
ship29,15
ship29,19
ship29,26
ship29,27
ship29,28
ship29,30
ship29,36
ship29,45
earn30,2
earn30,21
earn30,35
earn30,36
earn30,37
earn30,38
earn30,41
earn31,34
earn31,48
earn31,49
earn32,3
earn32,21
earn32,34
earn32,48
earn32,49
acq33,6
acq33,10
acq33,12
acq33,13
acq33,14
acq33,23
acq33,35
acq33,37
acq33,38
acq33,43
earn34,5
earn34,17
earn35,10
earn35,25
earn35,29
earn35,31
earn35,34
earn35,40
coffee36,12
coffee36,15
coffee36,18
coffee36,36
money-supply37,4
money-supply37,7
money-supply37,12
money-supply37,50
money-supply38,4
money-supply39,2
money-supply39,4
money-supply39,40
money-supply40,7
money-supply40,40
money-supply40,50
money-supply41,2
money-supply41,4
money-supply41,5
money-supply41,12
money-supply41,40
money-supply41,50
earn42,4
earn42,5
earn42,9
earn42,17
earn42,18
earn42,21
earn42,34
earn42,48
earn43,1
earn43,5
earn43,9
earn43,29
earn43,31
earn43,42
earn44,5
earn44,21
earn45,5
earn46,5
earn46,9
earn46,25
earn46,31
earn46,43
earn46,49
earn47,5
earn47,7
money-supply48,4
money-supply48,7
money-supply48,50
earn49,15
earn49,31
earn49,34
earn49,38
earn49,48
earn49,51
money-supply50,4
money-supply51,4
money-supply51,48
acq52,29
acq52,51
earn53,33
earn53,34
money-supply54,2
money-supply54,4
money-supply54,34
money-supply54,48
money-supply54,49
money-supply54,50
money-supply55,7
money-supply55,22
money-supply55,50
money-supply56,4
money-supply56,7
money-supply56,22
money-supply56,34
money-supply56,42
money-supply56,50
money-supply57,4
money-supply57,7
money-supply57,8
money-supply57,29
money-supply57,33
money-supply57,34
money-supply57,42
money-supply57,50
money-supply58,2
money-supply58,4
money-supply58,25
money-supply58,29
money-supply58,31
money-supply58,47
money-supply58,50
cotton59,4
cotton59,6
cotton59,11
cotton59,12
cotton59,14
cotton59,20
cotton59,26
cotton59,30
cotton59,31
cotton59,36
cotton59,41
cotton59,45
sugar60,7
sugar60,12
sugar60,14
sugar60,18
sugar60,19
sugar60,20
sugar60,26
sugar60,33
sugar60,36
sugar60,40
sugar60,45
earn61,5
earn61,17
money-supply62,2
money-supply62,3
money-supply62,4
money-supply62,7
money-supply62,12
money-supply62,26
money-supply62,34
money-supply62,40
money-supply62,48
acq63,0
acq63,2
acq63,9
acq63,24
acq63,29
acq63,35
acq63,38
money-supply64,7
money-supply64,22
money-supply64,45
money-supply64,48
money-supply64,50
earn65,1
earn65,5
earn65,9
earn65,26
earn65,29
earn65,30
earn65,31
earn65,36
earn65,42
earn66,2
earn66,4
earn66,13
earn66,22
earn66,23
earn66,32
earn66,35
earn66,41
earn66,48
grain67,0
grain67,4
grain67,7
grain67,12
grain67,19
grain67,40
