probability,word
0.053630047,state
0.040959936,second
0.02314796,uracil
0.020949017,trade
0.012815041,japan
0.009376958,official
0.007845348,market
0.0076431953,japanese
0.007342143,agreement
0.006632871,government
0.0062950253,foreign
0.0048887813,import
0.0045799795,curate
0.0045548924,economic
0.004465089,plan
0.004311309,unite
0.0042754784,export
0.004216747,policy
0.004030684,industry
0.0040036957,currency
0.003932144,new
0.0039072465,negotiation
0.0039014064,universe
0.0038490647,meeting
0.0037206716,exchange
0.003696205,president
0.003615353,committee
0.0035852601,week
0.003486284,house
0.0033501808,duty
0.0031947244,year
0.0031673366,see
0.003165804,beginning
0.0031328672,international
0.0030233648,add
0.003016972,reagan
0.0029472301,attempt
0.0028638963,semiconductor
0.0028277978,baker
0.0027750412,dollar
0.0027738505,action
0.0027020695,good
0.0026967947,excess
0.0026607881,deficit
0.0025292074,major
0.0025073313,cut
0.0024829078,open
0.0024796908,european_union
0.002464602,ministry
0.0024293626,paris
0.0024144247,measure
0.0023978846,grain
0.0023422071,calendar_month
0.0023283279,administration
0.0022794788,analyst
0.0022659497,issue
0.0022206965,china
0.0021957417,billion
0.0021949285,washington
0.0021921713,trading
0.0021638914,today
0.0021628886,treaty
0.002154628,economy
0.0021413262,general_agreement_on_tariffs_and_trade
0.0020838936,say
0.0020711934,secretary
0.002063103,firm
0.0020038583,dispute
0.0019807639,old_age
0.001948054,spokesman
0.0019405555,continue
0.001919748,time
0.0019133618,union
0.0019101293,treasury
0.0019039566,agree
0.001870649,brazil
0.001864083,problem
0.0018564872,telecommunication
0.0018546919,privation
0.001849798,monetary
0.0018108868,april
0.0017968107,thymine
0.0017806825,debt
0.0017640379,ask
0.0017631137,need
0.0017626731,large
0.0017384429,include
0.0017302672,department
0.0017279891,propose
0.0016987057,european
0.0016979136,monetary_value
0.0016837929,federal
0.0016776228,name
0.001662279,remark
0.0016568212,manner
0.0016474433,merchandise
0.0016443871,domestic
0.0016196176,lead
0.0016023101,aid
0.0016001272,tokyo
0.0015991677,development
0.0015716131,change
0.0015690485,think
0.0015404645,support
0.0015331153,set
0.0015294038,west
0.0015249974,high
0.0015242173,general
0.0015107945,growth
0.0014884879,south
0.0014883247,necessitate
0.0014846212,taiwan
0.001473608,hutton
0.0014724827,congress
0.0014694253,degree
0.0014500059,hanker
0.0014497404,american
0.0014471214,community
0.0014434613,member
0.0014419492,agribusiness
0.0014352704,decision
0.0014342018,survey
0.001426156,strike
0.0014131824,reporter
0.0013913811,bit
0.0013899581,war
0.0013743025,current
0.0013735098,reduce
0.0013704972,production
0.0013598279,enforce
0.0013421007,end
0.0013230479,industrial
0.0013025062,question
0.0012915427,work
0.0012820571,yesterday
0.0012818138,proposal
0.0012735354,saying
0.0012575885,likely
0.0012565497,united_kingdom
0.0012527214,national
0.0012456285,sanction
0.001242546,sign
0.0012314916,concern
0.0012282052,round
0.0012074674,rule
0.001206378,commodity
0.0012013711,let
0.0012009043,position
0.001196575,cargo
0.0011915872,use
0.0011912157,bundesbank
0.0011837261,supply
0.0011827428,meet
0.0011688842,case
0.0011680601,soviet
0.0011665662,finance
0.0011656781,row
0.0011570238,senior
0.0011431199,future
0.0011421284,rise
0.0011404091,opportunity
0.0011341332,hope
0.0011066213,stability
0.0011044084,james
0.0011024637,germany
0.0010911394,stop
0.0010898763,stay
0.0010849597,departure
0.0010735577,intervention
0.0010685337,pressure
0.0010660406,urge
0.0010650711,semen
0.0010590139,tax
0.0010575424,keep
0.0010554714,budget
0.0010468062,senate
0.0010408876,approach
0.0010345554,demand
0.001034069,messenger
0.0010214547,pursuit
0.0010195647,decide
0.0010077666,legislation
0.0009978759,like
0.0009949809,look
0.0009924871,political
0.00099175,announce
0.0009877644,french_fries
0.00098682,representative
0.0009867471,western
0.0009861625,head
0.0009833431,retaliation
